combination,loss,epoch,training_encoder_time
"[22, 2, 32, [8, 4], 'tanh', 0.95, 0.9, 0.95]",0.604851321,156,441
"[22, 2, 32, [8, 4], 'tanh', 0.95, 0.9, 0.9]",0.575281864,1000,2802
"[22, 2, 32, [8, 4], 'tanh', 0.9, 0.9, 0.95]",1.03774207,586,1652
"[22, 2, 32, [8, 4], 'tanh', 0.9, 0.9, 0.9]",1.098627609,197,552
"[22, 2, 32, [8, 4], 'sigmoid', 0.95, 0.9, 0.95]",0.583595986,459,1294
"[22, 2, 32, [8, 4], 'sigmoid', 0.95, 0.9, 0.9]",0.720547428,1000,2810
"[22, 2, 32, [8, 4], 'sigmoid', 0.9, 0.9, 0.95]",0.332085619,1000,2816
"[22, 2, 32, [8, 4], 'sigmoid', 0.9, 0.9, 0.9]",0.320443191,1000,2773
"[22, 2, 32, [16, 8], 'tanh', 0.95, 0.9, 0.95]",0.931040782,952,2708
"[22, 2, 32, [16, 8], 'tanh', 0.95, 0.9, 0.9]",0.29864752,51,145
"[22, 2, 32, [16, 8], 'tanh', 0.9, 0.9, 0.95]",0.34089495,60,172
"[22, 2, 32, [16, 8], 'tanh', 0.9, 0.9, 0.9]",0.479773472,564,1589
"[22, 2, 32, [16, 8], 'sigmoid', 0.95, 0.9, 0.95]",0.422204394,1000,2853
"[22, 2, 32, [16, 8], 'sigmoid', 0.95, 0.9, 0.9]",0.344977563,830,4179
"[22, 2, 32, [16, 8], 'sigmoid', 0.9, 0.9, 0.95]",0.475294874,536,1623
